rank,model,value
1,FaceNet,0.920209
2,FaceNet,0.946756
3,FaceNet,0.958240
4,FaceNet,0.965399
5,FaceNet,0.969277
6,FaceNet,0.972409
7,FaceNet,0.974646
8,FaceNet,0.976734
9,FaceNet,0.978076
10,FaceNet,0.978673
11,FaceNet,0.980015
12,FaceNet,0.980910
13,FaceNet,0.982252
14,FaceNet,0.982849
15,FaceNet,0.983594
16,FaceNet,0.984042
17,FaceNet,0.984191
18,FaceNet,0.984787
19,FaceNet,0.985235
20,FaceNet,0.985831
1,ArcFace,0.983743
2,ArcFace,0.984340
3,ArcFace,0.984340
4,ArcFace,0.984340
5,ArcFace,0.984489
6,ArcFace,0.984489
7,ArcFace,0.984489
8,ArcFace,0.984489
9,ArcFace,0.984489
10,ArcFace,0.984489
11,ArcFace,0.984638
12,ArcFace,0.984638
13,ArcFace,0.984638
14,ArcFace,0.984638
15,ArcFace,0.984787
16,ArcFace,0.984787
17,ArcFace,0.984787
18,ArcFace,0.984787
19,ArcFace,0.985086
20,ArcFace,0.985086
