path,identity,split
data\gallery\Aaron_Peirsol\Aaron_Peirsol_0000.jpg,Aaron_Peirsol,gallery
data\probe\Aaron_Peirsol\Aaron_Peirsol_0000.jpg,Aaron_Peirsol,probe
data\probe\Aaron_Peirsol\Aaron_Peirsol_0001.jpg,Aaron_Peirsol,probe
data\probe\Aaron_Peirsol\Aaron_Peirsol_0002.jpg,Aaron_Peirsol,probe
data\gallery\Abdoulaye_Wade\Abdoulaye_Wade_0000.jpg,Abdoulaye_Wade,gallery
data\probe\Abdoulaye_Wade\Abdoulaye_Wade_0000.jpg,Abdoulaye_Wade,probe
data\probe\Abdoulaye_Wade\Abdoulaye_Wade_0001.jpg,Abdoulaye_Wade,probe
data\probe\Abdoulaye_Wade\Abdoulaye_Wade_0002.jpg,Abdoulaye_Wade,probe
data\gallery\Abdullah\Abdullah_0000.jpg,Abdullah,gallery
data\probe\Abdullah\Abdullah_0000.jpg,Abdullah,probe
data\probe\Abdullah\Abdullah_0001.jpg,Abdullah,probe
data\probe\Abdullah\Abdullah_0002.jpg,Abdullah,probe
data\gallery\Abdullah_Gul\Abdullah_Gul_0000.jpg,Abdullah_Gul,gallery
data\probe\Abdullah_Gul\Abdullah_Gul_0000.jpg,Abdullah_Gul,probe
data\probe\Abdullah_Gul\Abdullah_Gul_0001.jpg,Abdullah_Gul,probe
data\probe\Abdullah_Gul\Abdullah_Gul_0002.jpg,Abdullah_Gul,probe
data\probe\Abdullah_Gul\Abdullah_Gul_0003.jpg,Abdullah_Gul,probe
data\probe\Abdullah_Gul\Abdullah_Gul_0004.jpg,Abdullah_Gul,probe
data\probe\Abdullah_Gul\Abdullah_Gul_0005.jpg,Abdullah_Gul,probe
data\probe\Abdullah_Gul\Abdullah_Gul_0006.jpg,Abdullah_Gul,probe
data\probe\Abdullah_Gul\Abdullah_Gul_0007.jpg,Abdullah_Gul,probe
data\probe\Abdullah_Gul\Abdullah_Gul_0008.jpg,Abdullah_Gul,probe
data\probe\Abdullah_Gul\Abdullah_Gul_0009.jpg,Abdullah_Gul,probe
data\probe\Abdullah_Gul\Abdullah_Gul_0010.jpg,Abdullah_Gul,probe
data\probe\Abdullah_Gul\Abdullah_Gul_0011.jpg,Abdullah_Gul,probe
data\probe\Abdullah_Gul\Abdullah_Gul_0012.jpg,Abdullah_Gul,probe
data\probe\Abdullah_Gul\Abdullah_Gul_0013.jpg,Abdullah_Gul,probe
data\probe\Abdullah_Gul\Abdullah_Gul_0014.jpg,Abdullah_Gul,probe
data\probe\Abdullah_Gul\Abdullah_Gul_0015.jpg,Abdullah_Gul,probe
data\probe\Abdullah_Gul\Abdullah_Gul_0016.jpg,Abdullah_Gul,probe
